country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
QA,Qatar,0,0,2020-02-15,-3.0,0.0,7.0,1.0,5.0,1.0
QA,Qatar,0,0,2020-02-16,-1.0,0.0,16.0,3.0,3.0,1.0
QA,Qatar,0,0,2020-02-17,-1.0,-1.0,9.0,1.0,4.0,1.0
QA,Qatar,0,0,2020-02-18,-3.0,-3.0,8.0,1.0,4.0,1.0
QA,Qatar,0,0,2020-02-19,-3.0,-4.0,7.0,-1.0,4.0,1.0
QA,Qatar,0,0,2020-02-20,-1.0,-1.0,8.0,-2.0,3.0,2.0
QA,Qatar,0,0,2020-02-21,-1.0,0.0,12.0,-2.0,2.0,1.0
QA,Qatar,0,0,2020-02-22,-1.0,-1.0,10.0,-1.0,5.0,1.0
QA,Qatar,0,0,2020-02-23,-1.0,-2.0,18.0,0.0,5.0,1.0
QA,Qatar,0,0,2020-02-24,-1.0,-3.0,9.0,0.0,5.0,1.0
QA,Qatar,0,0,2020-02-25,-2.0,-3.0,10.0,0.0,4.0,1.0
QA,Qatar,0,0,2020-02-26,-3.0,-3.0,-2.0,-2.0,4.0,1.0
QA,Qatar,0,0,2020-02-27,4.0,6.0,5.0,-1.0,4.0,1.0
QA,Qatar,0,0,2020-02-28,2.0,6.0,6.0,-2.0,4.0,1.0
QA,Qatar,0,0,2020-02-29,3.0,7.0,6.0,0.0,6.0,1.0
QA,Qatar,0,0,2020-03-01,4.0,8.0,13.0,1.0,4.0,1.0
QA,Qatar,0,0,2020-03-02,2.0,7.0,1.0,0.0,5.0,1.0
QA,Qatar,0,0,2020-03-03,1.0,5.0,3.0,-1.0,5.0,1.0
QA,Qatar,0,0,2020-03-04,0.0,6.0,-4.0,-2.0,5.0,2.0
QA,Qatar,0,0,2020-03-05,2.0,8.0,4.0,-4.0,5.0,2.0
QA,Qatar,0,0,2020-03-06,-1.0,7.0,3.0,-5.0,4.0,2.0
QA,Qatar,0,0,2020-03-07,0.0,5.0,5.0,-3.0,7.0,2.0
QA,Qatar,0,0,2020-03-08,2.0,5.0,9.0,-2.0,6.0,1.0
QA,Qatar,0,0,2020-03-09,-2.0,16.0,-1.0,-8.0,6.0,2.0
QA,Qatar,0,0,2020-03-10,-6.0,4.0,1.0,-9.0,2.0,4.0
QA,Qatar,0,0,2020-03-11,-11.0,0.0,-4.0,-14.0,2.0,4.0
QA,Qatar,0,0,2020-03-12,-18.0,1.0,-12.0,-21.0,0.0,8.0
QA,Qatar,0,0,2020-03-13,-35.0,-15.0,-26.0,-37.0,-4.0,10.0
QA,Qatar,0,0,2020-03-14,-25.0,-8.0,-14.0,-30.0,0.0,8.0
QA,Qatar,0,0,2020-03-15,-17.0,-4.0,-3.0,-23.0,-5.0,9.0
QA,Qatar,0,0,2020-03-16,-26.0,-4.0,-11.0,-28.0,-8.0,10.0
QA,Qatar,0,0,2020-03-17,-31.0,-4.0,-12.0,-33.0,-15.0,13.0
QA,Qatar,0,0,2020-03-18,-41.0,-13.0,-23.0,-39.0,-20.0,16.0
QA,Qatar,0,0,2020-03-19,-43.0,-15.0,-21.0,-43.0,-22.0,19.0
QA,Qatar,0,0,2020-03-20,-58.0,-32.0,-40.0,-52.0,-24.0,16.0
