country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,0,0,2020-02-15,3.0,-1.0,35.0,9.0,0.0,-1.0
IT,Italy,0,0,2020-02-16,3.0,2.0,26.0,11.0,1.0,-2.0
IT,Italy,0,0,2020-02-17,0.0,1.0,7.0,3.0,1.0,0.0
IT,Italy,0,0,2020-02-18,3.0,1.0,16.0,4.0,1.0,0.0
IT,Italy,0,0,2020-02-19,0.0,-1.0,11.0,3.0,1.0,0.0
IT,Italy,0,0,2020-02-20,2.0,1.0,18.0,5.0,1.0,0.0
IT,Italy,0,0,2020-02-21,1.0,1.0,19.0,5.0,0.0,-1.0
IT,Italy,0,0,2020-02-22,-1.0,3.0,30.0,8.0,0.0,-1.0
IT,Italy,0,0,2020-02-23,-5.0,16.0,23.0,6.0,1.0,0.0
IT,Italy,0,0,2020-02-24,-4.0,23.0,22.0,-15.0,-14.0,4.0
IT,Italy,0,0,2020-02-25,-6.0,5.0,20.0,-18.0,-15.0,5.0
IT,Italy,0,0,2020-02-26,-13.0,-5.0,-6.0,-23.0,-12.0,6.0
IT,Italy,0,0,2020-02-27,-10.0,-3.0,-1.0,-22.0,-12.0,6.0
IT,Italy,0,0,2020-02-28,-8.0,-2.0,11.0,-20.0,-12.0,5.0
IT,Italy,0,0,2020-02-29,-10.0,-2.0,2.0,-16.0,-9.0,3.0
IT,Italy,0,0,2020-03-01,-19.0,-5.0,-30.0,-26.0,-5.0,4.0
IT,Italy,0,0,2020-03-02,-13.0,-7.0,-26.0,-25.0,-9.0,5.0
IT,Italy,0,0,2020-03-03,-7.0,-1.0,-9.0,-21.0,-8.0,4.0
IT,Italy,0,0,2020-03-04,-7.0,1.0,8.0,-19.0,-8.0,4.0
IT,Italy,0,0,2020-03-05,-12.0,0.0,-12.0,-28.0,-16.0,7.0
IT,Italy,0,0,2020-03-06,-15.0,0.0,-8.0,-29.0,-17.0,8.0
IT,Italy,0,0,2020-03-07,-19.0,1.0,2.0,-24.0,-15.0,6.0
IT,Italy,0,0,2020-03-08,-32.0,3.0,1.0,-27.0,-10.0,6.0
IT,Italy,0,0,2020-03-09,-30.0,-1.0,-24.0,-42.0,-24.0,11.0
IT,Italy,0,0,2020-03-10,-43.0,-2.0,-32.0,-51.0,-31.0,16.0
IT,Italy,0,0,2020-03-11,-52.0,-14.0,-32.0,-57.0,-37.0,19.0
IT,Italy,0,0,2020-03-12,-70.0,-23.0,-61.0,-67.0,-47.0,24.0
IT,Italy,0,0,2020-03-13,-75.0,-28.0,-64.0,-71.0,-53.0,28.0
IT,Italy,0,0,2020-03-14,-83.0,-43.0,-78.0,-76.0,-58.0,25.0
IT,Italy,0,0,2020-03-15,-90.0,-60.0,-81.0,-80.0,-55.0,22.0
IT,Italy,0,0,2020-03-16,-75.0,-37.0,-67.0,-74.0,-58.0,27.0
IT,Italy,0,0,2020-03-17,-77.0,-41.0,-68.0,-76.0,-61.0,29.0
IT,Italy,0,0,2020-03-18,-79.0,-43.0,-71.0,-77.0,-61.0,30.0
IT,Italy,0,0,2020-03-19,-79.0,-44.0,-74.0,-78.0,-63.0,31.0
IT,Italy,0,0,2020-03-20,-80.0,-40.0,-77.0,-78.0,-63.0,32.0
IT,Italy,0,0,2020-03-21,-86.0,-51.0,-85.0,-80.0,-63.0,26.0
IT,Italy,0,0,2020-03-22,-95.0,-85.0,-91.0,-87.0,-63.0,24.0
IT,Italy,0,0,2020-03-23,-80.0,-45.0,-81.0,-81.0,-68.0,32.0
IT,Italy,0,0,2020-03-24,-81.0,-48.0,-80.0,-81.0,-69.0,32.0
IT,Italy,0,0,2020-03-25,-83.0,-51.0,-82.0,-82.0,-70.0,34.0
IT,Italy,0,0,2020-03-26,-84.0,-52.0,-84.0,-83.0,-72.0,35.0
IT,Italy,0,0,2020-03-27,-83.0,-46.0,-82.0,-82.0,-71.0,36.0
IT,Italy,0,0,2020-03-28,-87.0,-54.0,-86.0,-82.0,-65.0,27.0
IT,Italy,0,0,2020-03-29,-94.0,-85.0,-90.0,-87.0,-63.0,24.0
IT,Italy,0,0,2020-03-30,-81.0,-47.0,-79.0,-81.0,-69.0,32.0
IT,Italy,0,0,2020-03-31,-90.0,-42.0,-78.0,-79.0,-70.0,33.0
IT,Italy,0,0,2020-04-01,-90.0,-41.0,-77.0,-79.0,-70.0,33.0
